fishing_rod,30
flag,37958
flagpole,555
flamingo,640
flap,113
flashlight,32
flip_flop_(sandal),577
flipper_(footwear),72
flower,75242
flower_arrangement,40591
flowerpot,50719
flute_(musical_instrument),46
flute_glass,501
folding_chair,1272
food,103266
food_processor,6
football,1273
football_helmet,1627
footwear,175030
fork,3609
forklift,24
forniture,1029
fountain,1560
fox,84
freight_car,18
frisbee,12390
frog,273
fruit,29412
frying_pan,369
fume_hood,210
furniture,396216
gameboard,4
garden_hose,21
gargle,4
gargoyle,1
garlic,76
gas_stove,82
gasmask,8
gazelle,47
gelatin,9
gift_wrap,337
ginger,4
giraffe,1919
girl,14106
glass_(drink_container),58134
glasses,171739
globe,209
glove,24998
goat,607
goggles,10729
goldfish,234
golf_ball,30
golf_club,11
golfcart,128
gondola_(boat),216
goose,1292
gourd,22
grape,567
grapefruit,4
grater,20
gravestone,1023
green,22002703
green_bean,36
green_onion,77
grey,32667020
grill,1002
grizzly,2
guacamole,3
guitar_(musical_instrument),64315
gull,568
gun,674
hair_curler,2
hair_dryer,4145
hairbrush,1333
ham,50
hamburger,68
hammer,18
hamper,1
hamster,18
hand_dryer,2
hand_towel,9
handbag,54650
handcart,430
handgun,160
handkerchief,1924
handle,8245
harbor_seal,81
harp_(musical_instrument),179
harpsichord,35
hat,52729
headband,7360
headboard,1029
headlight,3687
headphone,5128
headphones,1938
headscarf,1132
headstall_(for_horses),16
heart,432
heater,60
hedgehog,19
helicopter,2895
helmet,48934
heron_(bird),1
high_heels,756
highchair,94
hiking_equipment,1296
hinge,3309
hippopotamus,127
home_appliance,27465
home_plate_(baseball),25
honey,1
honeycomb,228
hook,279
horn_(musical_instrument),36
horse,26059
horse_carriage,15
hose,668
hot_dog,1377
house,35340
houseboat,3
houseplant,3809
human_arm,119
human_beard,697
human_ear,1974
human_eye,2782
human_face,1122617
human_foot,750
human_hair,472
human_hand,18517
human_head,283
human_leg,588
human_mouth,2130
human_nose,1974
hummingbird,60
ice_cream,99
ice_maker,8
igniter,55
inhaler,2
insect,4559
invertebrate,9345
ipod,137
iron_(for_clothing),23
isopod,2
jacket,16973
jacuzzi,1
jaguar,28
jar,26307
jeans,17719
jellyfish,1913
jersey,11351
jewelry,97113
jug,70
juice,533
kangaroo,55
kayak,562
kettle,188
key,54
kilt,21
kimono,123
kitchen_&_dining_room_table,165
kitchen_appliance,24097
kitchen_knife,15
kitchen_sink,218
kitchen_utensil,23312
kitchenware,149470
kite,61646
kiwi_fruit,53
knee_pad,3238
knife,11461
knitting_needle,1
knob,3254
knocker_(on_a_door),1
koala,36
ladder,8290
ladle,24
ladybug,94
lamb_(animal),7
lamp,16745
lamppost,96
lampshade,9148
land_vehicle,695131
lantern,1501
lanyard,7700
laptop_computer,57877
latch,152
lavender,462
lawn_mower,12
legging_(clothing),447
lego,1147
legume,74
lemon,527
leopard,14
lettuce,547
license_plate,6191
life_buoy,434
life_jacket,3083
light_bulb,9009
light_switch,56
lighthouse,351
lily,29
lime,71
limousine,177
lion,293
lip_balm,3
lipstick,1326
liquor,3
lizard,306
lobster,22
locker,151
log,9641
lollipop,4
luggage_and_bags,130616
lynx,1
magazine,279
magnet,6169
magpie_(bird),28
mailbox_(at_home),11
mammal,148246
man,827380
mandarin_orange,1
manger,29
mango,5
manhole,1137
map,54
maple,1222
marine_invertebrates,4348
marine_mammal,2806
marker,322
mascot,14
mask,1862
mast,2533
mat_(gym_equipment),637
mattress,47
measuring_cup,24
meatball,1
medical_equipment,332
medicine,32
melon,98
microphone,75530
microwave_oven,5129
milk,60
milk_can,2
miniskirt,23
minivan,723
mirror,22159
missile,17
mitten,86
mixer_(kitchenware),530
mixing_bowl,42
money,78
monitor_(computer_equipment)_computer_monitor,20754
monkey,717
mop,6
moths_and_butterflies,1734
motor,911
motor_scooter,550
motor_vehicle,449187
motorcycle,44602
mound_(baseball),23
mouse,37
mouse_(computer_equipment),6725
mousepad,108
muffin,107
mug,4685
mule,104
mushroom,678
musical_instrument,111123
musical_keyboard_(musical_instrument),2499
nail,105
napkin,2380
necklace,60239
needle,4
nest,109
newspaper,2654
newsstand,41
nightshirt,7
nightstand,71
noseband_(for_animals),4
notebook,201
notepad,121
oar,1893
oboe_(musical_instrument),50
office_building,1375
office_supplies,77021
oil_lamp,9
onion,601
orange,13058488
orange_juice,121
organ_(musical_instrument),142
ostrich,136
otter,108
ottoman,60
oven,3455
overalls_(clothing),427
owl_(bird),556
oyster,44
pacifier,81
packet,1
pad,472
paddle,1400
padlock,291
paintbrush,3
painting,9125
pajamas,67
palette,115
palm_tree,8487
pan_(for_cooking),712
pancake,11
panda,238
paper_plate,335
paper_towel,464
parachute,17872
parakeet,21
parasail_(sports),899
parasol,284
parka,191
parking_meter,5274
parrot,21
parrot_(bird),398
passenger_car_(part_of_a_train),79
passenger_ship,81
pasta,102
pastry,13237
patty_(food),16
pea_(food),58
peach,5
pear,28
pelican,27
pen,2321
pencil,1487
penguin,846
pennant,119
penny_(coin),1
pepper,2
pepper_mill,109
perfume,64
person,5360303
personal_care,613
pew_(church_bench),596
phonebook,14
phonograph_record,516
piano,1902
piano_(musical_instrument),1456
pickle,77
pickup_truck,697
picnic_basket,140
picture_frame,15973
pie,12
pig,308
pigeon_(bird),731
pillow,7932
pin_(non_jewelry),287
pineapple,188
pinecone,92
pink,6016259
pinwheel,4
pipe,10969
pitcher,17
pitcher_(vessel_for_liquid),501
pizza,3779
place_mat,232
plant,558693
plastic_bag,4959
plate,3808
platter,37
pliers,24
plumbing_fixture,26569
plume,12
pocket_watch,27
polar_bear,381
pole,17528
polo_shirt,1573
pomegranate,3
pool_table,471
pop_(soda),52
popcorn,105
porch,214
porcupine,8
postbox_(public),131
postcard,35
poster,83284
pot,1462
potato,189
potholder,25
pottery,48
pouch,69
power_plugs_and_sockets,168
power_plugs_and_wall_sockets,2886
power_shovel,45
pretzel,14
printer,975
projectile_(weapon),91
projector,74
propeller,1955
puffin,10
pumpkin,920
puncher,2
punching_bag,199
puppy,11
purple,8624096
rabbit,216
raccoon,13
racket,7858
radar,27
radiator,709
radio_receiver,201
radish,44
railcar_(part_of_a_train),110
raincoat,196
ram_(animal),4
raspberry,168
ratchet,5
raven,195
rays_and_skates,456
razorblade,33
rearview_mirror,4517
receipt,22
red,10984608
red_panda,7
reflector,22483
refrigerator,13358
remote_control,16228
reptile,2113
rhinoceros,91
rifle,430
ring,4061
robe,253
rocket,407
rocking_chair,38
rodent,250
